ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
0, 174.605,18.7231,5.61503,-2.7552,-0.111398,-1.67587,-0.0204156,9.8395,4.61131,-2.06888,4.7772,3.90166,,
1, 175.726,34.356,10.7347,-5.00609,-0.508421,-3.05436,0.243399,18.4956,8.67964,-3.11763,9.22074,7.0605,,
2, 176.672,47.4572,15.4434,-6.84215,-1.06043,-4.15461,0.644557,26.072,12.3118,-3.43837,13.2914,9.662,,
3, 177.474,58.4777,19.7973,-8.33382,-1.68195,-5.00708,1.09419,32.6872,15.5831,-3.24158,16.9846,11.8411,,
4, 178.158,67.7833,23.835,-9.53761,-2.31776,-5.64582,1.54099,38.4606,18.5482,-2.67994,20.3154,13.6966,,
5, 178.744,75.6708,27.5853,-10.4996,-2.93297,-6.10427,1.95763,43.5041,21.2485,-1.86487,23.3093,15.3016,,
6, 179.248,82.382,31.0704,-11.2578,-3.50628,-6.41314,2.33176,47.9193,23.716,-0.878104,25.996,16.7101,,
7, 179.683,88.1142,34.3091,-11.8439,-4.02548,-6.59944,2.66015,51.7955,25.9764,0.22019,28.4064,17.9629,,
8, 180.061,93.0291,37.318,-12.2848,-4.48446,-6.68632,2.94485,55.2102,28.0512,1.38562,30.5704,19.0903,,
9, 180.391,97.2593,40.1123,-12.6029,-4.8811,-6.69322,3.19067,58.2297,29.9587,2.58546,32.5158,20.1156,,
10, 180.679,100.914,42.7063,-12.8174,-5.2159,-6.63629,3.40368,60.9106,31.7147,3.79559,34.268,21.0566,,
11, 180.932,104.083,45.1132,-12.9448,-5.49103,-6.52873,3.59022,63.3007,33.3332,4.9984,35.8496,21.9268,,
12, 181.155,106.841,47.346,-12.999,-5.70967,-6.38133,3.75636,65.4405,34.8264,6.18113,37.2808,22.7369,,
13, 181.352,109.251,49.4168,-12.9919,-5.87562,-6.20281,3.90757,67.3638,36.2057,7.33469,38.5792,23.495,,
14, 181.528,111.363,51.3371,-12.9338,-5.99294,-6.0002,4.04862,69.0995,37.4808,8.45275,39.7605,24.2078,,
15, 181.684,113.22,53.1177,-12.8332,-6.06581,-5.77916,4.1835,70.6717,38.661,9.53113,40.8381,24.8804,,
16, 181.823,114.86,54.769,-12.6977,-6.09835,-5.54422,4.31548,72.1008,39.7543,10.5672,41.8238,25.5171,,
17, 181.948,116.311,56.3004,-12.5337,-6.09457,-5.29903,4.44712,73.4043,40.7682,11.5595,42.728,26.1211,,
18, 182.06,117.6,57.721,-12.3465,-6.05827,-5.04651,4.5804,74.5968,41.7093,12.5077,43.5595,26.6954,,
19, 182.162,118.748,59.0391,-12.1408,-5.99305,-4.789,4.71677,75.6908,42.5838,13.4118,44.3261,27.2422,,
20, 182.253,119.773,60.2625,-11.9204,-5.90229,-4.52839,4.8572,76.6972,43.3972,14.2725,45.0348,27.7636,,
21, 182.336,120.691,61.3984,-11.6888,-5.78911,-4.26621,5.00233,77.6252,44.1545,15.091,45.6913,28.2611,,
22, 182.411,121.516,62.4534,-11.4488,-5.65639,-4.00368,5.15247,78.4827,44.8602,15.8684,46.301,28.7364,,
23, 182.48,122.259,63.4338,-11.2028,-5.50678,-3.74179,5.30768,79.2767,45.5186,16.6062,46.8684,29.1907,,
24, 182.542,122.929,64.3451,-10.9528,-5.34271,-3.48137,5.46785,80.0133,46.1333,17.3061,47.3975,29.6251,,
25, 182.599,123.535,65.1927,-10.7005,-5.16639,-3.22306,5.63269,80.6977,46.7078,17.9696,47.8918,30.0407,,
26, 182.652,124.084,65.9814,-10.4474,-4.97983,-2.96742,5.80183,81.3346,47.2453,18.5985,48.3545,30.4384,,
27, 182.699,124.583,66.7157,-10.1946,-4.78484,-2.71488,5.97481,81.9281,47.7485,19.1944,48.7884,30.8191,,
28, 182.744,125.037,67.3995,-9.94329,-4.58306,-2.46582,6.15112,82.4818,48.2201,19.7589,49.1959,31.1836,,
29, 182.784,125.451,68.0368,-9.69416,-4.37596,-2.22053,6.33021,82.9991,48.6625,20.2937,49.5791,31.5325,,
30, 182.821,125.829,68.631,-9.44797,-4.16486,-1.97926,6.51153,83.4828,49.0778,20.8004,49.9401,31.8667,,
31, 182.856,126.175,69.1853,-9.20528,-3.95095,-1.74221,6.69453,83.9355,49.468,21.2804,50.2805,32.1868,,
32, 182.888,126.492,69.7026,-8.96655,-3.73528,-1.50956,6.87867,84.3596,49.8349,21.7351,50.6021,32.4934,,
33, 182.917,126.783,70.1857,-8.73217,-3.51879,-1.28143,7.06342,84.7573,50.1803,22.166,50.906,32.787,,
